name,year,out,in,tot,tourn_type,tourn_year,hole,score,par,ob,water,side,rel_to_par
A183,10,47,44,91,regionals,2013,1,7,5,TRUE,TRUE,front,2
A184,12,49,52,101,regionals,2013,1,8,5,TRUE,TRUE,front,3
A185,12,48,54,102,regionals,2013,1,6,5,TRUE,TRUE,front,1
A186,12,48,50,98,regionals,2013,1,6,5,TRUE,TRUE,front,1
A187,10,49,50,99,regionals,2013,1,6,5,TRUE,TRUE,front,1
A188,11,48,49,97,regionals,2013,1,7,5,TRUE,TRUE,front,2
A189,11,51,53,104,regionals,2013,1,7,5,TRUE,TRUE,front,2
A190,11,43,51,94,regionals,2013,1,6,5,TRUE,TRUE,front,1
A191,11,66,57,123,regionals,2013,1,11,5,TRUE,TRUE,front,6
A192,9,60,54,114,regionals,2013,1,7,5,TRUE,TRUE,front,2
A193,9,53,62,115,regionals,2013,1,6,5,TRUE,TRUE,front,1
A194,11,40,50,90,regionals,2014,1,6,5,TRUE,TRUE,front,1
A195,12,54,52,106,regionals,2014,1,7,5,TRUE,TRUE,front,2
A196,12,50,54,104,regionals,2014,1,6,5,TRUE,TRUE,front,1
A197,11,52,53,105,regionals,2014,1,8,5,TRUE,TRUE,front,3
A198,9,56,51,107,regionals,2014,1,6,5,TRUE,TRUE,front,1
A199,12,55,55,110,regionals,2014,1,8,5,TRUE,TRUE,front,3
A200,12,61,55,116,regionals,2014,1,8,5,TRUE,TRUE,front,3
A201,9,51,54,105,regionals,2014,1,7,5,TRUE,TRUE,front,2
A202,10,47,58,105,regionals,2014,1,6,5,TRUE,TRUE,front,1
A203,10,58,51,109,regionals,2014,1,9,5,TRUE,TRUE,front,4
A204,10,41,46,87,regionals,2014,1,5,5,TRUE,TRUE,front,0
A205,12,37,47,84,regionals,2014,1,6,5,TRUE,TRUE,front,1
A206,12,43,55,98,regionals,2014,1,6,5,TRUE,TRUE,front,1
A207,10,54,48,102,regionals,2014,1,7,5,TRUE,TRUE,front,2
A208,9,55,56,111,regionals,2014,1,6,5,TRUE,TRUE,front,1
A209,11,49,45,94,regionals,2014,1,7,5,TRUE,TRUE,front,2
