name,year,1,2,3,4,5,6,7,8,9,out,10,11,12,13,14,15,16,17,18,in,tot,tourn_type,tourn_year
A430,11,8,10,9,9,8,7,10,11,4,76,9,11,9,5,10,8,7,5,11,75,151,sectionals,2018
A431,11,7,6,3,5,5,4,4,6,4,44,4,6,7,2,3,6,4,6,8,46,90,sectionals,2018
A432,10,7,5,9,5,5,4,6,5,4,50,5,7,6,5,7,5,6,3,7,51,101,sectionals,2018
A433,10,10,6,5,5,5,5,9,5,6,56,4,6,8,4,6,6,6,3,6,49,105,sectionals,2018
A434,10,9,6,10,7,5,4,5,5,3,54,6,8,9,5,6,5,6,6,5,56,110,sectionals,2018
A435,11,8,7,6,7,5,4,7,6,4,54,5,7,6,4,8,5,7,4,4,50,104,sectionals,2018
A436,12,7,9,5,8,6,4,10,7,4,60,7,8,6,4,6,5,7,4,8,55,115,sectionals,2018
A437,11,8,7,7,8,6,8,5,5,5,59,6,7,8,4,8,5,5,5,5,53,112,sectionals,2018
A438,11,10,7,4,5,5,4,4,5,5,49,7,7,5,3,6,6,5,5,4,48,97,sectionals,2018
A439,12,10,6,8,7,10,5,13,5,6,70,7,8,7,5,10,7,8,6,7,65,135,sectionals,2018
A440,12,5,5,5,6,4,3,5,4,3,40,6,4,5,3,5,5,4,4,4,40,80,sectionals,2018
A441,12,9,6,5,5,5,4,8,6,12,60,6,6,6,4,8,6,6,5,5,52,112,sectionals,2018
A442,11,6,5,9,5,4,3,5,5,6,48,3,5,5,4,7,7,6,4,5,46,94,sectionals,2018
A443,10,9,6,5,4,6,6,8,7,4,55,6,7,6,4,7,7,8,6,8,59,114,sectionals,2018
A444,12,7,6,6,7,7,4,6,6,7,56,6,7,7,6,6,9,6,6,5,58,114,sectionals,2018
A445,10,8,5,5,5,5,3,9,5,5,50,5,7,4,4,4,6,6,4,4,44,94,sectionals,2018
A446,11,6,5,6,5,6,4,6,6,3,47,6,6,5,4,6,6,6,5,6,50,97,sectionals,2018
A447,12,7,5,5,6,5,4,8,6,7,53,8,6,5,5,6,5,6,3,6,50,103,sectionals,2018
A448,12,8,6,8,7,7,4,7,7,3,57,9,8,8,5,8,6,6,5,7,62,119,sectionals,2018
A449,12,8,6,5,7,6,5,7,6,5,55,5,8,7,5,7,7,6,6,7,58,113,sectionals,2018
A450,12,6,6,6,7,4,6,6,5,3,49,5,5,5,3,7,6,4,3,7,45,94,sectionals,2018
A451,12,8,5,6,6,6,5,6,6,7,55,7,6,7,7,8,8,6,9,7,65,120,sectionals,2018
A452,11,10,4,5,5,7,5,5,5,5,51,6,6,5,3,7,6,4,4,6,47,98,sectionals,2018
A453,11,5,6,4,6,5,5,5,4,4,44,7,6,6,3,6,5,5,4,6,48,92,sectionals,2018
A454,10,8,5,6,7,6,7,5,6,6,56,8,6,6,5,6,6,6,6,6,55,111,sectionals,2018
A455,12,7,4,5,4,4,4,4,5,3,40,4,6,5,3,5,4,4,3,5,39,79,sectionals,2018
A456,12,6,6,6,5,5,5,4,5,5,47,9,5,5,5,6,6,5,4,5,50,97,sectionals,2018
A457,12,5,5,6,5,5,4,4,6,4,44,5,5,5,4,5,5,5,4,7,45,89,sectionals,2018
A458,12,7,7,6,6,6,4,6,5,4,51,7,7,6,6,7,5,5,4,6,53,104,sectionals,2018
A459,10,7,6,5,6,6,4,7,6,3,50,6,6,6,5,7,5,5,4,6,50,100,sectionals,2018
A460,12,8,6,5,5,4,3,4,5,3,43,4,7,4,4,6,5,4,4,5,43,86,sectionals,2018
A461,10,7,5,4,7,6,3,5,4,5,46,5,6,7,3,8,5,5,4,5,48,94,sectionals,2018
A462,11,5,5,5,6,5,5,5,6,4,46,5,6,8,5,6,6,5,3,5,49,95,sectionals,2018
A463,12,8,6,8,4,5,5,5,6,3,50,6,5,5,5,6,5,5,2,6,45,95,sectionals,2018
A464,11,6,4,5,4,5,3,4,5,4,40,6,5,4,4,5,4,4,3,4,39,79,sectionals,2018
