hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
4.0,5.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,7.0,5.0,3.0,4.0,5.0,4.0,4.0,6.0,Amateur Qualifier (Edelweiss Chalet CC) - David Westrich Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1590/scorecard.htm
5.0,6.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,6.0,8.0,4.0,2.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Patrick Bohrer Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1674/scorecard.htm
6.0,5.0,6.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Travis Erickson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1744/scorecard.htm
5.0,5.0,7.0,4.0,4.0,5.0,3.0,6.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Chuck Chandler Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1643/scorecard.htm
4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,Amateur Qualifier (Edelweiss Chalet CC) - Tyler Lehmann Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1705/scorecard.htm
6.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,3.0,8.0,7.0,4.0,5.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Taylor Ryman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1599/scorecard.htm
5.0,8.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,6.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Gabe Brown Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1608/scorecard.htm
5.0,6.0,4.0,4.0,5.0,4.0,3.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Ron MacKinnon Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1711/scorecard.htm
5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,9.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Kyle Bence Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1734/scorecard.htm
4.0,5.0,6.0,2.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,3.0,4.0,5.0,9.0,4.0,5.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Nick Tanin Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1695/scorecard.htm
3.0,6.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,4.0,4.0,7.0,3.0,4.0,7.0,Amateur Qualifier (Edelweiss Chalet CC) - Nicholas Benz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1753/scorecard.htm
4.0,5.0,4.0,3.0,4.0,6.0,5.0,5.0,6.0,4.0,7.0,4.0,3.0,5.0,7.0,7.0,4.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Gunnar Goetz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1708/scorecard.htm
4.0,5.0,5.0,3.0,4.0,6.0,4.0,5.0,5.0,7.0,5.0,5.0,4.0,6.0,6.0,7.0,3.0,4.0,Amateur Qualifier (Edelweiss Chalet CC) - Ryan Schave Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1605/scorecard.htm
6.0,6.0,6.0,4.0,4.0,5.0,3.0,5.0,8.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Samuel Cox Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1658/scorecard.htm
4.0,4.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,6.0,7.0,5.0,5.0,Amateur Qualifier (Edelweiss Chalet CC) - Matthew Schmit Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1554/scorecard.htm
4.0,6.0,8.0,3.0,6.0,5.0,5.0,5.0,8.0,9.0,7.0,4.0,4.0,4.0,7.0,8.0,4.0,7.0,Amateur Qualifier (Edelweiss Chalet CC) - Colby Albert Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga17/event/wsga1754/contest/1/contestant/1572/scorecard.htm
