hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
5.0,3.0,6.0,6.0,3.0,5.0,4.0,4.0,7.0,3.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Tyler Hietpas Scorecard | WSGA
4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,6.0,2.0,6.0,Amateur Qualifier (The Oaks GC) - Joe Knudtson Scorecard | WSGA
3.0,4.0,5.0,5.0,3.0,7.0,2.0,5.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,Amateur Qualifier (The Oaks GC) - Trent Griesemer Scorecard | WSGA
4.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Zak Kulka Scorecard | WSGA
4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,6.0,3.0,5.0,4.0,3.0,6.0,6.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - John Thomas Naumann Scorecard | WSGA
5.0,4.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,Amateur Qualifier (The Oaks GC) - Jordan Wollenberg Scorecard | WSGA
4.0,4.0,6.0,6.0,5.0,4.0,3.0,4.0,6.0,4.0,4.0,3.0,3.0,6.0,6.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Gary Dahlke Scorecard | WSGA
4.0,3.0,5.0,5.0,4.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,3.0,6.0,7.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Tanner Keel Scorecard | WSGA
5.0,3.0,5.0,5.0,3.0,6.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Nathan Brown Scorecard | WSGA
7.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,7.0,4.0,4.0,5.0,4.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Ryan Sanicki Scorecard | WSGA
4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Carson Frisch Scorecard | WSGA
4.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,6.0,4.0,3.0,9.0,Amateur Qualifier (The Oaks GC) - Caleb Martin Scorecard | WSGA
4.0,4.0,6.0,6.0,3.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,Amateur Qualifier (The Oaks GC) - Scott Tate Scorecard | WSGA
4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Geoffrey Lorenz Scorecard | WSGA
4.0,3.0,5.0,6.0,3.0,6.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,6.0,4.0,4.0,5.0,6.0,Amateur Qualifier (The Oaks GC) - Maxamillian Xiong Scorecard | WSGA
4.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,8.0,6.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Joe Guerrera Scorecard | WSGA
5.0,3.0,6.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,6.0,4.0,7.0,4.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Thomas Bleich Scorecard | WSGA
7.0,3.0,5.0,6.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,7.0,4.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Karl Gilmore Scorecard | WSGA
