hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
5.0,5.0,3.0,4.0,5.0,4.0,7.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,Wisconsin State Open Qualifier #3 - John Knoll Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/657/scorecard.htm
4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Ryan Wendorf Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/562/scorecard.htm
7.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,Wisconsin State Open Qualifier #3 - Mike Potter Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/574/scorecard.htm
3.0,5.0,4.0,4.0,3.0,6.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,Amateur Qualifier (Wausau CC) - Trevor Thomas Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/40/scorecard.htm
4.0,5.0,4.0,4.0,3.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Greg Fehrman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/31/scorecard.htm
3.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Scott Howard Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/147/scorecard.htm
4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Jed Baranczyk Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/1/scorecard.htm
4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Patrick Darling Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/129/scorecard.htm
3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Jacob Michel Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/34/scorecard.htm
4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Tyler Leach Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/25/scorecard.htm
4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,Amateur Qualifier (Wausau CC) - Matthew Tuman Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/10/scorecard.htm
4.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,3.0,Amateur Qualifier (Wausau CC) - Evan Lunda Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/114/scorecard.htm
4.0,5.0,6.0,5.0,2.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,Amateur Qualifier (Wausau CC) - David Anderson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/126/scorecard.htm
5.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Garth Gilster Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/22/scorecard.htm
4.0,6.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0,6.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Paul Schwarz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/153/scorecard.htm
4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,6.0,4.0,5.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Alex Okray Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/96/scorecard.htm
4.0,5.0,4.0,5.0,3.0,7.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,Amateur Qualifier (Wausau CC) - Benjamin Alt Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/16/scorecard.htm
4.0,5.0,4.0,5.0,3.0,6.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,6.0,5.0,5.0,Amateur Qualifier (Wausau CC) - Ben Opsal Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/117/scorecard.htm
4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,Amateur Qualifier (Wausau CC) - Ryan Konop Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/90/scorecard.htm
4.0,7.0,3.0,4.0,4.0,6.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,6.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Cameron Loyet Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/67/scorecard.htm
4.0,8.0,5.0,4.0,3.0,6.0,5.0,6.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,Amateur Qualifier (Wausau CC) - Stephan Young Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/99/scorecard.htm
4.0,6.0,3.0,3.0,2.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,8.0,5.0,4.0,4.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Joseph Benbow Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/108/scorecard.htm
5.0,5.0,3.0,4.0,4.0,5.0,6.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Brian Krause Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/4/scorecard.htm
5.0,6.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,7.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Randy Wedde Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/141/scorecard.htm
5.0,5.0,5.0,4.0,3.0,6.0,6.0,3.0,3.0,5.0,6.0,3.0,3.0,5.0,4.0,5.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Eric Bartz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/93/scorecard.htm
5.0,7.0,6.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,Amateur Qualifier (Wausau CC) - Derek Hilmershausen Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/79/scorecard.htm
4.0,5.0,6.0,5.0,3.0,7.0,4.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Taylor Thomas Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/102/scorecard.htm
5.0,6.0,4.0,5.0,3.0,6.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Jeff Lindemann Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/120/scorecard.htm
4.0,5.0,5.0,4.0,3.0,7.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Ryan Zelhofer Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/84/scorecard.htm
5.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,6.0,5.0,5.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Mason Parker Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/58/scorecard.htm
5.0,6.0,6.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,6.0,4.0,5.0,3.0,5.0,4.0,Amateur Qualifier (Wausau CC) - Nils Arneson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/168/scorecard.htm
5.0,5.0,6.0,5.0,3.0,5.0,6.0,4.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Curtis Geiger Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/28/scorecard.htm
5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,6.0,6.0,4.0,5.0,Amateur Qualifier (Wausau CC) - Lawrence Wetzel Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/64/scorecard.htm
6.0,5.0,4.0,4.0,3.0,6.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Tim Kulhanek Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/70/scorecard.htm
6.0,6.0,6.0,4.0,3.0,7.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,3.0,4.0,Amateur Qualifier (Wausau CC) - Jacob O'Loughlin Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/73/scorecard.htm
5.0,5.0,5.0,10.0,3.0,5.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,3.0,5.0,Amateur Qualifier (Wausau CC) - Kyle Lunt Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/105/scorecard.htm
5.0,5.0,4.0,5.0,4.0,7.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,4.0,5.0,Amateur Qualifier (Wausau CC) - Grant Boyson Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/138/scorecard.htm
4.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,Amateur Qualifier (Wausau CC) - Brian Zager Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/132/scorecard.htm
5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,Amateur Qualifier (Wausau CC) - Chris Griffin Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/76/scorecard.htm
6.0,5.0,6.0,4.0,3.0,8.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0,7.0,Amateur Qualifier (Wausau CC) - Nathan Schwarz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/158/scorecard.htm
5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Kyle Goebel Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/123/scorecard.htm
4.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,5.0,4.0,4.0,6.0,5.0,4.0,5.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Gunnar Goetz Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/150/scorecard.htm
5.0,6.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,Amateur Qualifier (Wausau CC) - Adam Newville Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/111/scorecard.htm
5.0,5.0,6.0,5.0,3.0,6.0,4.0,5.0,4.0,3.0,6.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,Amateur Qualifier (Wausau CC) - Steve Norrington Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/165/scorecard.htm
5.0,7.0,4.0,5.0,3.0,7.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,Amateur Qualifier (Wausau CC) - Daniel Donovan Scorecard | WSGA,https://wsga.bluegolf.com/bluegolf/wsga16/event/wsga1623/contest/1/contestant/144/scorecard.htm
