RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
T183,182,Roberto Castro,16,288.7,"9,237",32,2005,avg_driv_dist
T183,192,Hudson Swafford,13,288.7,"7,506",26,2005,avg_driv_dist
185,T180,Tom Hoge,24,288.6,"13,855",48,2005,avg_driv_dist
186,183,Corey Conners,26,288.3,"8,073",28,2005,avg_driv_dist
187,211,Max Homa,22,288.2,"8,069",28,2005,avg_driv_dist
188,186,Brandon Wu,8,288.1,"4,609",16,2005,avg_driv_dist
T189,189,Adam Long,37,287.9,"16,701",58,2005,avg_driv_dist
T189,T187,C.T. Pan,16,287.9,"4,607",16,2005,avg_driv_dist
T189,T184,Tim Wilkinson,20,287.9,"11,516",40,2005,avg_driv_dist
192,190,Jim Furyk,12,287.5,"6,900",24,2005,avg_driv_dist
193,191,Dylan Frittelli,32,287.4,"13,796",48,2005,avg_driv_dist
T194,T187,Chris Stroud,19,287.3,"10,919",38,2005,avg_driv_dist
T194,,Rickie Fowler,8,287.3,"4,597",16,2005,avg_driv_dist
196,198,Billy Horschel,21,287.1,"5,168",18,2005,avg_driv_dist
197,193,Peter Malnati,27,286.9,"15,494",54,2005,avg_driv_dist
198,194,Aaron Baddeley,19,286.7,"10,893",38,2005,avg_driv_dist
199,T195,Chris Kirk,8,286.6,"4,586",16,2005,avg_driv_dist
200,T195,Rob Oppenheim,33,286.5,"18,908",66,2005,avg_driv_dist
201,197,Parker McLachlin,10,286.4,"5,727",20,2005,avg_driv_dist
202,200,Henrik Stenson,6,285.8,"1,143",4,2005,avg_driv_dist
203,201,Kevin Na,26,285.5,"10,277",36,2005,avg_driv_dist
204,199,Nate Lashley,24,285.3,"10,841",38,2005,avg_driv_dist
205,202,Brendon de Jonge,6,285.1,"3,421",12,2005,avg_driv_dist
206,T203,David Hearn,32,284.9,"18,234",64,2005,avg_driv_dist
T207,T205,Johnson Wagner,12,284.8,"6,835",24,2005,avg_driv_dist
T207,T203,Ben Crane,17,284.8,"9,682",34,2005,avg_driv_dist
T209,T207,John Rollins,8,284.7,"4,555",16,2005,avg_driv_dist
T209,T207,Tommy Gainey,10,284.7,"5,694",20,2005,avg_driv_dist
211,210,Michael Kim,14,284.6,"5,691",20,2005,avg_driv_dist
212,T205,Vaughn Taylor,30,284.4,"12,513",44,2005,avg_driv_dist
213,213,Kyle Stanley,23,284.3,"13,080",46,2005,avg_driv_dist
214,215,Ricky Barnes,23,284.2,"13,075",46,2005,avg_driv_dist
215,T207,Brian Stuard,38,284.1,"19,319",68,2005,avg_driv_dist
216,212,Zach Johnson,23,283.4,"13,036",46,2005,avg_driv_dist
T217,214,Ryan Armour,27,283.2,"15,295",54,2005,avg_driv_dist
T217,216,Kevin Stadler,13,283.2,"7,364",26,2005,avg_driv_dist
219,220,Rory Sabbatini,26,282.3,"10,164",36,2005,avg_driv_dist
220,218,Tim Herron,10,282,"5,640",20,2005,avg_driv_dist
T221,219,Jim Herman,24,281.9,"13,533",48,2005,avg_driv_dist
T221,217,Tyler Duncan,32,281.9,"18,039",64,2005,avg_driv_dist
223,224,Ben Martin,18,281.1,"10,121",36,2005,avg_driv_dist
224,221,J.B. Holmes,8,280.6,"3,367",12,2005,avg_driv_dist
225,T222,Zac Blair,32,279.8,"17,910",64,2005,avg_driv_dist
226,T222,D.A. Points,8,279.6,"4,473",16,2005,avg_driv_dist
227,229,Kevin Kisner,25,279.1,"9,491",34,2005,avg_driv_dist
T228,225,Brendon Todd,36,278.4,"20,044",72,2005,avg_driv_dist
T228,227,Chez Reavie,31,278.4,"10,580",38,2005,avg_driv_dist
230,226,David Lingmerth,12,277.7,"6,664",24,2005,avg_driv_dist
231,228,Xander Schauffele,12,277.1,"2,217",8,2005,avg_driv_dist
232,230,Luke Donald,8,276.5,"4,424",16,2005,avg_driv_dist
233,231,K.J. Choi,8,275.8,"2,206",8,2005,avg_driv_dist
234,232,Satoshi Kodaira,20,275.7,"8,822",32,2005,avg_driv_dist
235,234,Shugo Imahira,6,274.3,"1,097",4,2005,avg_driv_dist
236,235,Graeme McDowell,17,273.1,"6,555",24,2005,avg_driv_dist
237,236,Mikumu Horikawa,12,271.6,"2,173",8,2005,avg_driv_dist
238,237,Matt Kuchar,12,269.8,"6,474",24,2005,avg_driv_dist
239,238,Patrick Reed,14,269.3,"3,231",12,2005,avg_driv_dist
