RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
82,82,Kiradech Aphibarnrat,20,5.07,"1,630,073","32,136,000",2019,pct_total_money_won
83,83,Dylan Frittelli,24,5.06,"1,576,974","31,185,000",2019,pct_total_money_won
84,84,Emiliano Grillo,23,4.94,"1,752,114","35,475,000",2019,pct_total_money_won
85,85,Jazz Janewattananond,2,4.9,"191,665","3,915,000",2019,pct_total_money_won
86,86,Zack Fischer,2,4.87,"135,000","2,772,000",2019,pct_total_money_won
87,87,Keegan Bradley,25,4.83,"1,902,797","39,384,000",2019,pct_total_money_won
88,88,Talor Gooch,17,4.81,"1,067,089","22,203,000",2019,pct_total_money_won
89,89,Vaughn Taylor,27,4.79,"1,723,910","36,000,000",2019,pct_total_money_won
90,90,Cameron Champ,26,4.78,"1,695,748","35,446,000",2019,pct_total_money_won
91,91,Joel Dahmen,29,4.76,"1,949,958","40,995,000",2019,pct_total_money_won
92,92,Viktor Hovland,10,4.68,"678,035","14,490,000",2019,pct_total_money_won
93,93,Patrick Rodgers,18,4.67,"1,046,838","22,419,000",2019,pct_total_money_won
94,94,Kevin Streelman,26,4.53,"1,588,881","35,046,000",2019,pct_total_money_won
95,95,Harold Varner III,26,4.39,"1,553,149","35,370,000",2019,pct_total_money_won
96,96,Adam Long,27,4.37,"1,648,007","37,727,000",2019,pct_total_money_won
97,97,Charlie Danielson,4,4.35,"223,748","5,148,000",2019,pct_total_money_won
98,98,Michael Thompson,22,4.34,"1,307,816","30,159,000",2019,pct_total_money_won
99,99,Cameron Tringale,21,4.31,"1,049,106","24,327,000",2019,pct_total_money_won
100,100,Luke List,22,4.29,"1,391,408","32,471,000",2019,pct_total_money_won
101,101,Danny Lee,27,4.21,"1,524,126","36,207,000",2019,pct_total_money_won
102,102,Danny Willett,19,4.19,"1,286,737","30,688,000",2019,pct_total_money_won
103,103,Carl Yuan,1,4.18,"71,000","1,700,000",2019,pct_total_money_won
104,104,Cameron Smith,23,4.15,"1,504,820","36,239,000",2019,pct_total_money_won
105,105,Charley Hoffman,24,4.14,"1,468,855","35,504,000",2019,pct_total_money_won
106,106,Martin Kaymer,14,4.12,"877,761","21,312,000",2019,pct_total_money_won
107,107,Tom Lewis,4,4.09,"302,638","7,405,000",2019,pct_total_money_won
108,108,Tyler McCumber,1,4.06,"46,800","1,152,000",2019,pct_total_money_won
T109,T109,Branden Grace,22,3.94,"1,373,185","34,818,000",2019,pct_total_money_won
T109,T109,Seungsu Han,1,3.94,"21,300","540,000",2019,pct_total_money_won
111,111,Pat Perez,21,3.87,"1,103,241","28,529,000",2019,pct_total_money_won
112,112,Justin Harding,12,3.82,"763,567","20,013,000",2019,pct_total_money_won
113,113,Chesson Hadley,26,3.81,"1,405,632","36,891,000",2019,pct_total_money_won
114,114,Joaquin Niemann,28,3.8,"1,434,519","37,737,000",2019,pct_total_money_won
115,115,Aaron Baddeley,18,3.79,"904,982","23,859,000",2019,pct_total_money_won
116,116,Chad Ramey,1,3.78,"29,944","792,000",2019,pct_total_money_won
117,117,Wes Roach,21,3.73,"860,264","23,040,000",2019,pct_total_money_won
118,118,Wyndham Clark,27,3.71,"1,278,721","34,452,000",2019,pct_total_money_won
119,119,Gaganjeet Bhullar,2,3.69,"109,120","2,960,000",2019,pct_total_money_won
120,120,WC Liang,1,3.68,"62,500","1,700,000",2019,pct_total_money_won
121,121,Michael Lorenzo-Vera,2,3.66,"143,100","3,915,000",2019,pct_total_money_won
122,122,Philip Eriksson,1,3.61,"63,000","1,745,000",2019,pct_total_money_won
123,123,Sam Ryder,23,3.56,"1,060,735","29,799,000",2019,pct_total_money_won
T124,T124,Russell Knox,22,3.53,"1,132,825","32,082,000",2019,pct_total_money_won
T124,T124,Russell Henley,25,3.53,"1,133,773","32,103,000",2019,pct_total_money_won
T124,T124,Davis Riley,1,3.53,"50,231","1,422,000",2019,pct_total_money_won
127,127,Brian Stuard,29,3.51,"1,320,637","37,665,000",2019,pct_total_money_won
128,128,D.J. Trahan,14,3.48,"507,919","14,598,000",2019,pct_total_money_won
129,129,Sam Burns,26,3.4,"1,117,312","32,886,000",2019,pct_total_money_won
130,130,J.J. Spaun,26,3.39,"1,205,977","35,523,000",2019,pct_total_money_won
T131,T131,Chris Stroud,26,3.37,"1,075,552","31,887,000",2019,pct_total_money_won
T131,T131,Will Gordon,1,3.37,"21,219","630,000",2019,pct_total_money_won
133,133,Adam Schenk,31,3.34,"1,257,158","37,593,000",2019,pct_total_money_won
134,134,Brian Harman,29,3.28,"1,342,778","40,886,000",2019,pct_total_money_won
T135,T135,Doug Ghim,6,3.27,"243,356","7,434,000",2019,pct_total_money_won
T135,T135,Mackenzie Hughes,25,3.27,"1,022,081","31,293,000",2019,pct_total_money_won
T137,T137,Bud Cauley,25,3.25,"1,090,018","33,507,000",2019,pct_total_money_won
T137,T137,Haotong Li,12,3.25,"716,164","22,046,000",2019,pct_total_money_won
T139,T139,Xinjun Zhang,1,3.24,"55,000","1,700,000",2019,pct_total_money_won
T139,T139,Poom Saksansin,1,3.24,"56,500","1,745,000",2019,pct_total_money_won
T139,T139,Marcus Kinhult,1,3.24,"72,928","2,250,000",2019,pct_total_money_won
T139,T139,Jason Norris,1,3.24,"55,000","1,700,000",2019,pct_total_money_won
143,143,George Coetzee,2,3.21,"110,500","3,445,000",2019,pct_total_money_won
T144,T144,Aaron Wise,21,3.18,"1,052,507","33,086,000",2019,pct_total_money_won
T144,T144,Shubhankar Sharma,7,3.18,"358,996","11,302,000",2019,pct_total_money_won
T144,T144,Sebastián Muñoz,26,3.18,"946,666","29,781,000",2019,pct_total_money_won
T147,T147,Roger Sloan,27,3.17,"1,015,661","32,031,000",2019,pct_total_money_won
T147,T147,Sepp Straka,25,3.17,"934,894","29,475,000",2019,pct_total_money_won
149,149,Joost Luiten,5,3.16,"273,352","8,648,000",2019,pct_total_money_won
150,150,Thomas Pieters,6,3.15,"331,743","10,547,000",2019,pct_total_money_won
151,151,Scott Stallings,26,3.13,"1,080,451","34,569,000",2019,pct_total_money_won
152,152,Matt Jones,27,3.11,"1,024,852","32,985,000",2019,pct_total_money_won
153,153,Bronson Burgoon,20,3.09,"814,673","26,406,000",2019,pct_total_money_won
154,154,Alex Noren,18,3.08,"913,446","29,696,000",2019,pct_total_money_won
155,155,Thorbjørn Olesen,11,3.05,"623,936","20,480,000",2019,pct_total_money_won
156,156,Jonathan Byrd,17,3.03,"550,547","18,180,000",2019,pct_total_money_won
157,157,David Lipsky,5,2.99,"234,228","7,838,000",2019,pct_total_money_won
158,158,Carlos Ortiz,28,2.98,"1,073,962","36,063,000",2019,pct_total_money_won
T159,T159,Jason Scrivener,1,2.96,"50,313","1,700,000",2019,pct_total_money_won
T159,T159,Adam Bland,1,2.96,"50,313","1,700,000",2019,pct_total_money_won
161,161,Thomas Detry,1,2.94,"15,850","540,000",2019,pct_total_money_won
162,162,Paul Barjon,2,2.92,"79,257","2,718,000",2019,pct_total_money_won
163,163,Andrew Wilson,1,2.91,"56,278","1,935,000",2019,pct_total_money_won
164,164,Nick Watney,26,2.89,"1,008,964","34,893,000",2019,pct_total_money_won
T165,T165,Johnson Wagner,19,2.88,"597,792","20,754,000",2019,pct_total_money_won
T165,T165,Kyle Stanley,25,2.88,"1,117,604","38,742,000",2019,pct_total_money_won
167,167,Kyoung-Hoon Lee,30,2.85,"1,061,457","37,269,000",2019,pct_total_money_won
T168,T168,Jim Herman,21,2.84,"678,185","23,886,000",2019,pct_total_money_won
T168,T168,Scott Brown,27,2.84,"999,457","35,181,000",2019,pct_total_money_won
T170,T170,Brice Garnett,28,2.8,"1,019,594","36,463,000",2019,pct_total_money_won
T170,T170,Jonathan Randolph,1,2.8,"22,165","792,000",2019,pct_total_money_won
T172,T172,Shawn Stefani,25,2.78,"798,831","28,764,000",2019,pct_total_money_won
T172,T172,Matthew Millar,1,2.78,"48,500","1,745,000",2019,pct_total_money_won
T174,T174,Ashun Wu,1,2.76,"47,000","1,700,000",2019,pct_total_money_won
T174,T174,Daniel Berger,20,2.76,"742,340","26,892,000",2019,pct_total_money_won
176,176,Austin Cook,23,2.74,"837,788","30,582,000",2019,pct_total_money_won
T177,T177,Scott Vincent,2,2.73,"80,740","2,960,000",2019,pct_total_money_won
T177,T177,Paul Peterson,1,2.73,"30,483","1,116,000",2019,pct_total_money_won
179,179,Sanghyun Park,5,2.72,"226,778","8,350,000",2019,pct_total_money_won
T180,T180,Denny McCarthy,28,2.71,"925,156","34,137,000",2019,pct_total_money_won
T180,T180,Jason Dufner,25,2.71,"926,365","34,146,000",2019,pct_total_money_won
T180,T180,Brian Gay,28,2.71,"1,029,440","37,989,000",2019,pct_total_money_won
183,183,Oliver Bekker,1,2.69,"45,750","1,700,000",2019,pct_total_money_won
T184,T184,Andrew Landry,25,2.67,"887,405","33,223,000",2019,pct_total_money_won
T184,T184,Peter Malnati,26,2.67,"864,496","32,319,000",2019,pct_total_money_won
186,186,Patton Kizzire,25,2.66,"995,341","37,361,000",2019,pct_total_money_won
T187,T187,Andrea Pavan,3,2.65,"113,217","4,265,000",2019,pct_total_money_won
T187,T187,Jonas Blixt,26,2.65,"838,271","31,635,000",2019,pct_total_money_won
189,189,Yanwei Liu,1,2.64,"44,875","1,700,000",2019,pct_total_money_won
190,190,Bill Haas,23,2.63,"730,806","27,738,000",2019,pct_total_money_won
191,191,Brett Rumford,1,2.62,"44,500","1,700,000",2019,pct_total_money_won
192,192,Martin Laird,26,2.61,"863,054","33,021,000",2019,pct_total_money_won
193,193,JC Ritchie,1,2.6,"44,250","1,700,000",2019,pct_total_money_won
194,194,Bowen Xiao,1,2.59,"44,000","1,700,000",2019,pct_total_money_won
195,195,Hank Lebioda,23,2.57,"656,802","25,560,000",2019,pct_total_money_won
196,196,Ryan Armour,28,2.56,"955,468","37,287,000",2019,pct_total_money_won
T197,T197,Davis Love III,9,2.53,"271,216","10,728,000",2019,pct_total_money_won
T197,T197,Vijay Singh,6,2.53,"244,800","9,666,000",2019,pct_total_money_won
199,199,Roberto Castro,22,2.52,"674,250","26,766,000",2019,pct_total_money_won
T200,T200,Richy Werenski,27,2.49,"851,329","34,164,000",2019,pct_total_money_won
T200,T200,"Ted Potter, Jr.",23,2.49,"757,721","30,370,000",2019,pct_total_money_won
202,202,Sihwan Kim,2,2.48,"73,280","2,960,000",2019,pct_total_money_won
203,203,Josh Teater,24,2.46,"663,570","27,000,000",2019,pct_total_money_won
T204,T204,Nick Taylor,28,2.44,"892,663","36,585,000",2019,pct_total_money_won
T204,T204,Robert Streb,28,2.44,"796,525","32,634,000",2019,pct_total_money_won
